ID,text,IPA,audio,pauses
a60e2865-faae-45dc-bc5a-22ee3aefc925,Сероводород химическое вещество представляющее собои бинарное неорганическое соединение молекула которого состоит из двух атомов водорода и одного атома серы. Сильно ядовит обладает кислотными своиствами коррозионно активен разрушает сталь и другие сплавы. При нормальных условиях сероводород представляет собои бесцветныи газ со сладковатым вкусом обеспечивающии характерныи неприятныи тяжелыи запах тухлых яиц и мусора.,sʲɪrəvədəˈrɔd xʲɪmʲɪˈtɕeskoʊ vʲeˈɕːɛstvə pʲɪˈzdrɛstvʊjʊtɕɪˈbʲuː mʲɪˈlʲɛkʊlə kətərəjə səstɔjɪtɕɪsʲɪtɕɪ dʲɪvʲe aˈtəmə vədərədə aˈtəmə sʲɪrə. sʲɪlʲnə jɪˈdovʲɪt əˈblədətɕɪ kʲɪsəlʲtʲsʲkʲɪx səjstvəstvə kərəzʲɪjənə əˈktʲɪvən rəzrʊšətɕɪ sʲtəlʲ ɪ drʊgʲi səpləvə. pʲɪr nɔrˈməlʲnəjə kəndʲɪjəjəjə sʲɪrəvədəˈrɔd pʲɪˈzdrɛstvʊjʊtɕɪ bʲɪtsɛtsɛnəjə gəz sə slʲaˈdvətəm vəstəm əbɛzʲɪrɛjʊtɕɪ kərəktərənəjə nʲɪprʲɪjətəjə tʲɛzʲɛləjə zəpəx tʊxləjə jajətsə ɪ mʊsərə.,,
99373c6f-b6bc-4be6-8db5-64c15df540de,В больших концентрациях ядовит. Огнеопасен. Концентрационные пределы воспламенения в смеси с воздухом составляют сероводорода.,və ˈbolʲɪx kənˌtsɛntrəˈtsijəj jɪˈdovɪt. ˈoɡnʲeəpəˈsɛn. kənˌtsɛntrəˈtsionnəjə prʲɪdʲɪˈləlʲɪ vəsˈplamʲɪnʲɪja v sˈmʲɛsi s vəˈjirəx sərəvədərəˈdɪ.,,
9682d6e2-9a4a-4947-9f1a-60f5f0fe982b,Оксид цинка белыи кристаллическии порошок или бесцветные кристаллы. Кристаллизуется в гексагональнои сингонии типа вюрцита. Нерастворим в воде желтеет при нагревании.,ˈoksɪt t͡sɪnˈkɑ bʲɪˈlɨj kʲrɪstəlˈlʲɪtɕɪj pɐˈʂɔk ɪˈli bʲɪˈt͡sɛvʲɪt͡sɛ kʲrɪˈstɑlːɪ. kʲrɪstəlˈlʲɪzɨjʊt͡sja vʲɪ ɡʲɛksəɡəˈnalʲnəj sʲɪnˈɡɔnʲɪj tɨpə vʲʊrˈtsɪtə. nʲɪrɐˈstɔrɪm vʲɪ vɔdə ˈʐɛltʲɪj ˈprʲi nɐˈɡʲɛvənʲɪj.,,
4b7901c9-8651-4f9b-b940-78b25e5e7094,Боразол химическое вещество с химическои формулои бесцветная жидкость. Молекула представляет собои шестичленное плоское кольцо в котором чередуются атомы бора и азота каждыи из них соединен с одним атомом водорода. Боразол не следует путать с борабензолом аналогом пиридина в котором атом азота заменен на бор.,bɔrɐˈzol xʲɪmʲɪˈtɕeskoɪ fʲɵrˈmʊlə bʲɪtsʲɪt͡sʲkə ʒɪˈkʲuːstvə. məlʲɪˈkʊlə pʲɪrʲɪˈpʲent͡sʲɪ səbəɪ ˈʃɛstʲɪt͡sʲlʲɛnnoɪ pʲlɔskəj kɔlʲɪtsə v kərəm t͡ɕɛrʲɪdʲʊjət͡sʲɪ aˈtəmɨ bɔrə ɪ aˈzətə ˈkʲɪtɨ məˈsʲɪ əˈtəməm vədərəˈdə. bɔrɐˈzol nʲɪ səlʲɪvʲɪt͡sʲə pʊtʲatʲ ˈsə bɔrɐbʲɪnˈzɛn zələm əˈnəlʲɪɡəm pʲɪrʲɪˈdʲɪnə v kərəm aˈtəm aˈzətə zəmʲɪnʲɪn ˈsə bɔr.,,
c6d1b074-45ca-477b-8643-1fde7d3eb282,Атомы при не способны вступать в реакции замещения. Боразол можно получить нагреванием тетрагидридобората лития и хлорида аммония По реакции диборана с аммиаком которая также проводится при нагревании Реакциеи трихлорида бора с хлоридом аммония и последующим восстановлением борогидридом Тримеризация боразина Карапетьянц М. Х.,ɐˈtɒmɨ prʲɪ nʲɪ spɐˈbʲɪnɨ vstʊˈpʲatʲ v rʲɪˈaktsɨ zɐmʲɪˈstʲenʲɪja. bɐˈrozol mɐˈɡʲit nɐɡʲɪˈvanʲɪem tʲɪtrɐɡʲɪdrʲɪdɐˈbɒrɐtə lʲɪˈtʲɪja ɪ xlʲɵrɨˈdəm ɐmˈmɒnʲɪja pɐ rʲɪˈaktsɨ dʲɪˈbɒrɐnə s ɐmˈmʲɪkəm kətəˈlə kɔrə prɔˈvɔdʲɪtsja pɐ nɐɡʲɪˈvanʲɪja rʲɪˈaktsɨjə trʲɪxlʲɵrɨˈdə bɒrə ɪ xlʲɵrɨˈdəm ɐmˈmɒnʲɪja ɪ pɐsledʊˈvʲɪjɪm vɔsˈtɐnəvˈlʲenʲɪem bɒrɔɡʲɪdˈrʲɪdəm trʲɪˈmʲerʲɪzatsɨja bɐˈrozɨna kɐrɐpʲɪtʲjants m. x.,,
1c3fb092-071c-4e2f-845d-d776a4db6387,Бромная вода водныи раствор брома. На свету постепенно выделяет кислород в результате разложения присутствующеи в неи бромноватистои кислоты. Бромная вода имеет желтооранжевыи цвет.,brɔmnaɪ vɐˈdɐ vɐdˈnɔɪ rɐˈzvɔr brɔmɐ. nɐ sʲlʲɛtvʊ pɔstɛˈpʲɪnə vɨdʲɪˈlʲɪt kʲɪsʲləˈrɐd vʲɪ rɐzˈlɐdʲɪvʲɪ prʲɪsʲtʊˈtɕːɛnʲɪɪ brɔmnəvətʲɪstɔɪ kʲɪsʲlətɐ. brɔmnaɪ vɐˈdɐ iˈmɛtʲɪ zʲɛlʲtəoˈrɑnʲzʲɛvəɪ t͡sʲɛvʲɪt.,,
34ad2379-6836-41a9-b4cb-0c31060ae13e,Если приготовленную бромную воду хранить на свету или в светлои склянке то будет происходить выделение кислорода изза содержания бромноватистои кислоты. Работу по приготовлению реактива проводят в вытяжном шкафу. Так как сам бром ядовит а бромная вода его содержит то при работе с неи необходимо соблюдать осторожность.,ɪf ˈpriɡətˈlʲenую ˈbrɔmnuɡu ˈvodu ˈxranitʲ ˈna ˈsvʲetʲu ˈili ˈvə ˈsvʲetləj ˈsklʲanˈkə tə ˈbɨdɨtʲ ˈpərʲɪˈzjadʲ ˈvʲidʲɪˈlʲenʲɪje ˈkʲislərəˈdə ˈizdə ˈsədərжənʲɪje ˈbrɔmnəvətʲɪstəj ˈkʲisləty. ˈrabətə ˈpo ˈpriɡətˈlʲeniju ˈreaktʲɪva ˈprowədʲɪtʲ ˈvə ˈvəjtrəjˈnəj ˈškafu. ˈtak ˈkəz ˈsam ˈbrɔm ˈjadovɪt ˈa ˈbrɔmnaya ˈvoda ˈjego ˈsədərжɪt ˈto ˈpərʲɪ ˈrabətə ˈsə ˈnej ˈnədəlžətʲ ˈsəblyuˈdətʲ ˈostərəˈжənʲɪju.,,
63781189-a303-4aeb-9ceb-680d6b63e1ee,Бромная вода водныи раствор брома. На свету постепенно выделяет кислород в результате разложения присутствующеи в неи бромноватистои кислоты. Бромная вода имеет желтооранжевыи цвет.,brɔmnaɪ vɐˈdɐ vɐdˈnɔɪ rɐˈzvɔr brɔmɐ. nɐ sʲlʲɛtvʊ pɔstɛˈpʲɪnə vɨdʲɪˈlʲɪt kʲɪsʲləˈrɐd vʲɪ rɐzˈlɐdʲɪvʲɪ prʲɪsʲtʊˈtɕːɛnʲɪɪ brɔmnəvətʲɪstɔɪ kʲɪsʲlətɐ. brɔmnaɪ vɐˈdɐ iˈmɛtʲɪ zʲɛlʲtəoˈrɑnʲzʲɛvəɪ t͡sʲɛvʲɪt.,,
42c50b13-913c-4774-9fe8-cad1285c4923,Религия. Другие определения религии исповедание веры посредством внешних знаков организованное поклонение высшим силам.,rʲɪlʲɪˈɡʲijə | ˈdruɡʲɪje ˌoprʲɪdʲɪˈlʲenʲɪjə rʲɪlʲɪˈɡʲii ɪspɐˈvʲedɐnʲɪje vʲerɨ ˈposrʲɪtstvəm ˈvnʲeʃnʲɪx znəkəf ɐrɡənʲɪzɐˈvanːəjə pɐˈklonʲɪnʲɪje ˈvɨsʲɪm sʲɪˈlam,,
8003c03f-8e1a-4e6f-a28a-e375beb868d0,Буддизм также известныи как Дхармавинаия доктрины и дисциплины и Дхарма Будды индииская религия или философская традиция основанная на ряде оригинальных учении приписываемых Гаутаме Будде. Буддизм возник в древнеи Индии как традиция шраманов между и веками до нашеи эры и распространился по большеи части Азии. Это четвертая по величине религия в мире с более чем миллионами последователеи что составляет свыше населения мира известными как буддисты.,bʊˈdʲizm ˈtakʐɨ ˈizvʲɪstnɨj kak ˈdʱɐrməvʲɪˈnaɪjə dɐkˈtrʲinɨ i dʲɪsʲt͡sɨˈplʲinɨ i ˈdʱɐrmə ˈbudɨ ɪnˈdʲiɪskəjə rʲɪˈlʲiɡʲɪjə ˈilʲi fʲɪlɐˈsofskəjə trədʲɪˈt͡sɨjə ɐsˈnovənːəjə nɐ ˈrʲadʲɪ ɐrʲɪɡʲɪˈnalʲnɨx ʊˈt͡ɕenʲɪj prʲɪˈpʲisɨvəjɛmɨx ɡɐʊˈtamʲɪ ˈbudʲɪ | bʊˈdʲizm vɐzʲˈnʲik v ˈdrʲevnʲɪj ɪnˈdʲiɪ kak trədʲɪˈt͡sɨjə ʂrɐˈmanəf mʲɪʐˈdu i ˈvʲekəmʲɪ də nɐˈʂɛj ɛˈrɨ i rəspɐˈstranʲɪlsʲɐ pə bɐlʲˈʂɛj ˈt͡ɕastʲɪ ɐˈzʲiɪ | ˈɛtə t͡ɕɪˈtvʲɛrtəjə pə vʲɪlʲɪˈt͡ɕinʲɪ rʲɪˈlʲiɡʲɪjə v ˈmʲirʲɪ s ˈbolʲʂɨ t͡ɕɪm mʲɪlʲɪˈonəmʲɪ pɐsʲlʲɪˈdɐvətʲɪlʲɪj ʂtə sɐˈstavʲɪt svɨˈʂɛ nəsʲɪˈlʲɛnʲɪjə ˈmʲirə ɪzˈvʲɛstnɨmʲɪ kak bʊˈdʲistɨ,,
9a85e7e7-0938-41b7-a342-39cfa10f2b3d,Апофатическое богословие утверждаются отрицательные начиная например с безгрешныи бесконечныи бессмертныи и заканчивая ничто. Ясно апофатическое учение было провозглашено в древнеиндииских Упанишадах Абсолют в них понимается как не это не это Нети нети. Будда отказывался отвечать на некоторые метафизические вопросы четырнадцать безответных вопросов.,ɐpɐˈfatʲɪt͡ɕɪskəjə bɐɡɐˈsɫovʲɪjə ʊtvʲɪrʐˈdajʊt͡sʲɐ ɐtrʲɪˈt͡satʲɪlʲnɨjə nɐˈt͡ɕinəjə nɐˈprʲɪmʲɪr s bʲɪzˈɡrʲɛʂnɨj bʲɪskɐˈnʲet͡ɕnɨj bʲɪsːmʲɪrˈtɨj i zɐˈkanʲt͡ɕɪvəjə nʲɪˈt͡ɕto | ˈjæsnə ɐpɐˈfatʲɪt͡ɕɪskəjə ʊˈt͡ɕenʲɪjə ˈbɨɫə prəvɐzˈɡɫaʂɨnə v drʲɪvnʲɪɪnˈdʲiɪskʲɪx ʊpɐˈnʲiʂədəx ɐbˈsɫʲut v nʲɪx pɐnʲɪˈmaɪt͡sʲɐ kak nʲɪ ˈɛtə nʲɪ ˈɛtə ˈnʲetʲɪ ˈnʲetʲɪ | ˈbudːə ɐtkɐˈzɨvəlsʲɐ ɐtˈvʲet͡ɕɪtʲ nɐ nʲɪˈkɐtɨrɨjə mʲɪtɐˈfʲizʲɪt͡ɕɪskʲɪjə vɐˈprɐsɨ t͡ɕɪˈtɨrnɐt͡sɐtʲ bʲɪzɐˈtvʲetnɨx vɐˈprɐsəf,,
af1dd23c-a3dd-498a-8faa-5fe7578fb4f6,Шумероаккадская мифология мифология населения Древнеи Месопотамии говорившего на шумерском и аккадском языках. В даннои статье не затрагиваются мифические представления населения Древнеи Месопотамии говорившего на иных языках для них смотрите статьи Хурритская мифология Западносемитская мифология и другие. Шумероаккадская мифология объединяла в себе следующие компоненты.,ʂʊˈmʲerɐɐˈkadskəjə mʲɪfɐˈɫoɡʲɪjə mʲɪfɐˈɫoɡʲɪjə nəsʲɪˈlʲɛnʲɪjə ˈdrʲevnʲɪj mʲɪsɐpɐˈtamʲɪɪ ɡɐvɐˈrʲivʂɨvə ˈna ʂʊˈmʲerskəm i ɐˈkadskəm ˈjɨkəx | v ˈdannəj stɐˈtʲje nʲɪ zɐˈtraɡʲɪvəjʊt͡sʲɐ mʲɪˈfʲit͡ɕɪskʲɪjə prʲɪdstɐˈvlʲenʲɪjə nəsʲɪˈlʲɛnʲɪjə ˈdrʲevnʲɪj mʲɪsɐpɐˈtamʲɪɪ ɡɐvɐˈrʲivʂɨvə ˈna ˈinɨx ˈjɨkəx dlʲɪ nʲɪx smɐˈtrʲitʲɪ stɐˈtʲji xʊˈrʲit͡skəjə mʲɪfɐˈɫoɡʲɪjə zɐpɐdnəsʲɪˈmʲit͡skəjə mʲɪfɐˈɫoɡʲɪjə i ˈdruɡʲɪjɪ | ʂʊˈmʲerɐɐˈkadskəjə mʲɪfɐˈɫoɡʲɪjə ɐbjɪdʲɪˈnʲæɫə v sʲɛˈbʲɪ ˈsɫɛdʊjʊt͡ɕɪjɪ kɐmˈponʲɛntɨ,,
5ff62092-c506-4bd6-9193-5a9aef8dbe1c,Гильгамеш правитель шумерского города Урук правил в конце начале веков до н. э. Стал персонажем шумерских сказании и аккадского эпоса одного из величаиших произведении литературы Древнего Востока. В некоторых мифах известен как Царь героев Гильгамеш. После смерти Гильгамеш стал правителем подземного царства.,ɡʲɪlʲˈɡamʲɪʂ ˈpravʲɪtʲɪlʲ ʂʊˈmʲerskəvə ˈɡorədə ʊˈruk ˈpravʲɪl v kɐnˈt͡sɛ nɐˈt͡ɕaɫʲɪ ˈvʲekəf də n‿ɛ | stɐɫ pʲɪrsɐˈnaʐɨm ʂʊˈmʲerskʲɪx skɐˈzanʲɪj i ɐˈkadskəvə ɪˈposə ɐdnɐˈvə ɪz vʲɪlʲɪˈt͡ɕaɪ̯ʂɨx prɐɪzˈvʲɛdʲɪnʲɪj lʲɪtʲɪrɐˈturɨ ˈdrʲevnʲɪvə vɐˈstokə | v nʲɪˈkɐtɨrɨx mʲɪˈfax ɪzˈvʲɛstʲɪn kak t͡sarʲ ɡʲɪˈroɪ̯v ɡʲɪlʲˈɡamʲɪʂ | ˈposlʲɪ smʲɪrʲtʲɪ ɡʲɪlʲˈɡamʲɪʂ stɐɫ ˈpravʲɪtʲɪlʲɪm pɐdˈzʲɛmnəvə ˈt͡sarstvə,,
5db7ceda-137b-4295-92f0-b2621c31fe9e,Энума элиш с целью обоснования верховенства Мардука в вавилонском пантеоне для чего были переработаны шумерские предания прежде всего об Энлиле и Нинурте. Значительную часть повествования занимает прославление Мардука и его города Вавилона но главную роль играет именно космогоническая канва. Согласно сказанию в начале времен когда наверху не названо небо внизу земля именем не называлась праотец Абзу и прародительница Тиамат смешивали свои соответственно пресные и соленые воды.,ɛˈnumə ɛˈlʲiʂ s ˈt͡sɛlʲjʊ ɐbɐsnɐˈvanʲɪjə vʲɪrxɐˈvʲɛnstvə mɐrˈdukə v vɐbʲɪˈɫonskəm pɐnʲtʲɪˈonʲɪ dlʲɪ ˈt͡ɕɛvə ˈbɨlʲɪ pʲɪrʲɪrɐˈbotɨnɨ ʂʊˈmʲerskʲɪjɪ prʲɪˈdanʲɪjə prʲɪʐˈdʲɛ fsʲɛˈvə ɐb ɛnˈlʲilʲɪ i nʲɪˈnurtʲɪ | znɐˈt͡ɕitʲɪlʲnʊjʊ ˈt͡ɕastʲ pɐvʲɪstvɐˈvanʲɪjə zɐˈnʲiməjɪt prɐsˈɫavlʲɪnʲɪjə mɐrˈdukə i jɪˈvɐ ˈɡorədə vɐbʲɪˈɫonə nɐ ˈɡɫavnʊjʊ rolʲ ɪˈɡrəjɪt ɪˈmʲɛnə kəsmɐɡɐˈnʲit͡ɕɪskəjə ˈkanvə | sɐˈɡɫasnə skɐˈzanʲɪjʊ v nɐˈt͡ɕaɫʲɪ vrʲɪˈmʲɪn kɐɡˈdə nɐˈvʲɛrxʊ nʲɪ nɐzˈvanə nʲɪˈbo vnʲɪˈzu zʲɪˈmlʲa ˈimʲɪnʲɪm nʲɪ nɐzɨˈvaɫəsʲ prɐˈotʲɛt͡s ˈabzu i prɐrɐˈdʲitʲɪlʲnʲɪt͡sə tʲɪˈamət smʲɪˈʂɨvalʲɪ svɐˈji sɐɐtˈvʲɛtstvʲɪnːə ˈprʲɛsnɨjɪ i sɐˈlʲonɨjɪ ˈvodɨ,,
b375fec8-a12d-476f-b154-6e5124ad2391,Эпос о Гильгамеше или поэма О все видавшем одно из стареиших сохранившихся литературных произведении в мире самое крупное произведение написанное клинописью одно из величаиших произведении литературы Древнего Востока. Эпос создавался на аккадском языке на основании шумерских сказании на протяжении полутора тысяч лет начиная с веков до н. э.,ˈɛpəs ə ɡʲɪlʲˈɡamʲɪʂʲɪ ˈilʲɪ pɐˈɛmə ə fsʲɛ vʲɪˈdavʂɨm ɐdnɐ əz stɐˈrʲeɪ̯ʂɨx sɐxrɐˈnʲivʂɨxsʲə lʲɪtʲɪrɐˈturnɨx prɐɪzˈvʲɛdʲɪnʲɪj v ˈmʲirʲɪ ˈsaməjə ˈkrupnəjə prɐɪzˈvʲɛdʲɪnʲɪjə nɐˈpʲisɨnəjə klʲɪnɐˈpʲisʲjʊ ɐdnɐ əz vʲɪlʲɪˈt͡ɕaɪ̯ʂɨx prɐɪzˈvʲɛdʲɪnʲɪj lʲɪtʲɪrɐˈturɨ ˈdrʲevnʲɪvə vɐˈstokə | ˈɛpəs sɐzdɐˈvaɫsʲə nɐ ɐˈkadskəm ˈjɨkʲɪ nɐ ɐsnɐˈvanʲɪjɪ ʂʊˈmʲerskʲɪx skɐˈzanʲɪj nɐ prɐˈdɫoʐɨnʲɪjɪ pɐɫʊˈtorə ˈtɨsʲɪt͡ɕ lʲɪt nɐˈt͡ɕinəjə s ˈvʲekəf də n‿ɛ,,
